1,2,6,5,4,3,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
Ophiomancer,Burst Lightning,Mana Leak,Farseek,Counterspell,Sword of Feast and Famine,Cloudgoat Ranger,Temple of Epiphany,"Thrun, the Last Troll",Exhume,Temple of Plenty,Sakura-Tribe Elder,Disenchant,Force of Negation,Attrition,Fiery Confluence,Geothermal Bog,Eternal Witness,Bonesplitter,Farseek,Bitterblossom,Soldier of the Pantheon,Rakdos Cackler,"Tasigur, the Golden Fang",Selfless Spirit,Courser of Kruphix,Counterspell,Mizzium Mortars,Acidic Slime,Demonic Tutor,Mystical Tutor,Wall of Omens,Overgrown Tomb,Guttersnipe,"Kalitas, Traitor of Ghet",Wooded Foothills,Fiend Hunter,Arid Mesa,Reanimate,Zealous Conscripts,"Baral, Chief of Compliance",Armageddon,Liliana of the Veil,Char,Voice of Resurgence,"Thalia, Heretic Cathar",Joraga Treespeaker,Counterspell,Impulse,Miscalculation,Maze of Ith
Necropotence,Hellrider,Sylvan Caryatid,"Polukranos, World Eater",Quarantine Field,Pithing Needle,,Scalding Tarn,Gruul Signet,Animate Dead,"Jace, Vryn's Prodigy",Thragtusk,Serum Visions,Frantic Search,Blood Artist,Oona's Prowler,Balance,Experiment One,Thing in the Ice,Oona's Prowler,Incinerate,Worn Powerstone,Fireblast,Panharmonicon,"Elspeth, Sun's Champion",Sylvan Caryatid,"Isamaru, Hound of Konda",Chain Lightning,Primeval Titan,"Kalitas, Traitor of Ghet",Crucible of Worlds,Dauntless Bodyguard,City of Brass,Hellrider,Shriekmaw,Stomping Ground,Noble Hierarch,Geist of Saint Traft,Armageddon,Wall of Blossoms,Languish,Sundering Titan,Swords to Plowshares,Restoration Angel,Angel of Invention,Deathrite Shaman,Tarmogoyf,Supreme Verdict,Treasure Cruise,Custodi Lich,Plague Engineer
Asylum Visitor,Abrade,Brainstorm,Terastodon,Hallowed Fountain,Boros Signet,,Lightning Bolt,Avenger of Zendikar,Griselbrand,Craterhoof Behemoth,Kismet,Bonesplitter,Hangarback Walker,Reanimate,Flametongue Kavu,Temple of Abandon,Huntmaster of the Fells,Phantasmal Image,Inkwell Leviathan,Mind Twist,"Purphoros, God of the Forge",Sneak Attack,Witch-king of Angmar,Fyndhorn Elves,Wall of Blossoms,Wall of Omens,Zurgo Bellstriker,Sword of Light and Shadow,"Venser, Shaper Savant",Batterskull,Wrath of God,Watery Grave,Flametongue Kavu,"Braids, Cabal Minion",Huntmaster of the Fells,Kodama's Reach,Wall of Omens,,Windswept Heath,Temple of Deceit,Worn Powerstone,Witch-king of Angmar,Koth of the Hammer,Disenchant,Condemn,Yavimaya Elder,Hero of Bladehold,Foundry Street Denizen,Mana Leak,Sacred Foundry
Dark Confidant,Temple of Epiphany,Eternal Witness,Hazoret the Fervent,Spectral Procession,,,Thirst for Knowledge,Survival of the Fittest,Noxious Gearhulk,Voice of Resurgence,,Legion's Landing,Treasure Cruise,Lightning Helix,Falkenrath Gorger,Sacred Peaks,Grim Lavamancer,"Polukranos, World Eater",Plaguecrafter,Sword of Fire and Ice,"Daretti, Scrap Savant",Steam Vents,Tarmogoyf,Joraga Treespeaker,Beast Within,Ponder,Goblin Guide,Worn Powerstone,Vendilion Clique,,Karmic Guide,Spire of Industry,"Purphoros, God of the Forge",,Green Sun's Zenith,Condemn,Path to Exile,,Legion Warboss,Entomb,Tinker,,,"Isamaru, Hound of Konda",Bloodstained Mire,Life from the Loam,Archangel of Thune,"Jace, the Mind Sculptor",Hymn to Tourach,Temple of Malice
Deathrite Shaman,Treasure Cruise,City of Brass,Figure of Destiny,Hero of Bladehold,,,Goblin Welder,Birds of Paradise,Worn Powerstone,Marsh Flats,,Selesnya Charm,Ghost Quarter,Read the Bones,,Izzet Signet,Fauna Shaman,,Dismember,Anguished Unmaking,,Temple of Triumph,"Kalitas, Traitor of Ghet",Sakura-Tribe Elder,,Imposing Sovereign,Arid Mesa,Garruk Wildspeaker,,,,Simic Signet,,,Lightning Greaves,"Thalia, Guardian of Thraben",Force of Will,,Tireless Tracker,Watery Grave,Crucible of Worlds,,,Courser of Kruphix,Dismember,,Stifle,Rishadan Port,Noxious Gearhulk,Hypnotic Specter
,"Baral, Chief of Compliance",Windswept Heath,,"Thalia, Heretic Cathar",,,Deceiver Exarch,,Epochrasite,,,Spear of Heliod,Tinker,Duress,,Ash Zealot,,,"Nissa, Steward of Elements","Braids, Cabal Minion",,Ash Zealot,Hymn to Tourach,Swords to Plowshares,,,Incinerate,Arlinn Kord,,,,Golgari Signet,,,Natural Order,Sundering Titan,"Emrakul, the Aeons Torn",,Mizzium Mortars,Archon of Cruelty,Chromatic Star,,,"Elspeth, Knight-Errant",Windswept Heath,,,Panharmonicon,,Entomb
,,Meloku the Clouded Mirror,,Terramorphic Expanse,,,Electrolyze,,Oona's Prowler,,,Stoneforge Mystic,Stifle,Everflowing Chalice,,Mother of Runes,,,Living Death,Animate Dead,,,,"Thalia, Heretic Cathar",,,Hangarback Walker,,,,,Torrential Gearhulk,,,Fastbond,,Remand,,Flametongue Kavu,Consecrated Sphinx,,,,,Ulvenwald Oddity,,,,,Collective Brutality
,,Deceiver Exarch,,Spire of Industry,,,,,,,,Archangel of Thune,Swan Song,Temple of Plenty,,Wrath of God,,,Harrow,,,,,Ulvenwald Oddity,,,Firebolt,,,,,Tarmogoyf,,,,,,,Huntmaster of the Fells,,,,,,Anguished Unmaking,,,,,Siege-Gang Commander
,,Tectonic Edge,,,,,,,,,,Wrath of God,,Buried Ruin,,Dismember,,,,,,,,,,,Stromkirk Noble,,,,,Animate Dead,,,,,,,Deathrite Shaman,,,,,,Inquisition of Kozilek,,,,,
,,Cyclonic Rift,,,,,,,,,,,,Stomping Ground,,Kismet,,,,,,,,,,,"Kari Zev, Skyship Raider",,,,,Abrupt Decay,,,,,,,,,,,,,Pack Rat,,,,,
,,Trygon Predator,,,,,,,,,,,,Molten Tributary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Prophet of Kruphix,,,,,,,,,,,,Dragonlord Silumgar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
